Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,All ages,0-6 Days,7-27 Days,28-364 Days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80+ years
Ovarian cancer,No exposure,Both,Both,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Mesothelioma,High exposure,Both,Both,,,,,,,,"44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)","44.272
(13.126 to 119.191)"
Mesothelioma,Low exposure,Both,Both,,,,,,,,"24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)","24.712
(6.454 to 65.792)"
Mesothelioma,No exposure,Both,Both,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to arsenic,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"2.085
(1.446 to 2.904)","2.090
(1.411 to 2.922)","2.093
(1.449 to 2.870)","2.079
(1.433 to 2.914)","2.067
(1.437 to 2.864)","2.053
(1.436 to 2.879)","2.074
(1.474 to 2.925)","2.078
(1.437 to 2.926)","2.074
(1.460 to 2.849)","2.064
(1.456 to 2.811)","2.092
(1.474 to 2.863)","2.096
(1.457 to 2.966)","2.097
(1.477 to 2.826)","2.090
(1.471 to 2.858)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"2.085
(1.435 to 2.911)","2.089
(1.467 to 2.874)","2.084
(1.428 to 2.990)","2.086
(1.459 to 2.832)","2.090
(1.407 to 2.867)","2.081
(1.438 to 2.915)","2.069
(1.430 to 2.824)","2.109
(1.475 to 2.977)","2.079
(1.429 to 2.883)","2.076
(1.467 to 2.944)","2.070
(1.482 to 2.888)","2.098
(1.457 to 2.936)","2.089
(1.429 to 2.918)","2.096
(1.488 to 2.901)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to benzene,,,,,,,,,,,,,,,,,,,,,,,,
Leukaemia,High exposure,Both,Male,,,,,,,,"2.686
(1.570 to 4.190)","2.701
(1.617 to 4.452)","2.730
(1.585 to 4.471)","2.711
(1.555 to 4.443)","2.741
(1.597 to 4.549)","2.690
(1.594 to 4.317)","2.713
(1.623 to 4.233)","2.713
(1.616 to 4.421)","2.710
(1.580 to 4.459)","2.672
(1.591 to 4.408)","2.699
(1.535 to 4.498)","2.700
(1.545 to 4.405)","2.719
(1.586 to 4.416)","2.712
(1.507 to 4.505)"
Leukaemia,Low exposure,Both,Male,,,,,,,,"1.676
(1.127 to 2.432)","1.682
(1.130 to 2.400)","1.666
(1.109 to 2.402)","1.657
(1.096 to 2.361)","1.667
(1.100 to 2.421)","1.676
(1.087 to 2.393)","1.678
(1.133 to 2.455)","1.664
(1.144 to 2.403)","1.689
(1.110 to 2.422)","1.658
(1.102 to 2.428)","1.684
(1.118 to 2.469)","1.656
(1.101 to 2.342)","1.684
(1.134 to 2.465)","1.689
(1.139 to 2.431)"
Leukaemia,No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Leukaemia,High exposure,Both,Female,,,,,,,,"2.722
(1.565 to 4.362)","2.701
(1.577 to 4.369)","2.687
(1.586 to 4.289)","2.738
(1.606 to 4.557)","2.719
(1.585 to 4.469)","2.749
(1.640 to 4.474)","2.699
(1.524 to 4.392)","2.682
(1.578 to 4.337)","2.737
(1.533 to 4.538)","2.716
(1.576 to 4.449)","2.723
(1.567 to 4.550)","2.736
(1.597 to 4.459)","2.740
(1.620 to 4.458)","2.732
(1.517 to 4.526)"
Leukaemia,Low exposure,Both,Female,,,,,,,,"1.677
(1.114 to 2.486)","1.694
(1.121 to 2.410)","1.655
(1.078 to 2.416)","1.691
(1.124 to 2.439)","1.660
(1.079 to 2.376)","1.667
(1.135 to 2.446)","1.661
(1.090 to 2.424)","1.684
(1.148 to 2.402)","1.668
(1.094 to 2.424)","1.686
(1.122 to 2.434)","1.675
(1.106 to 2.418)","1.697
(1.151 to 2.482)","1.662
(1.102 to 2.368)","1.680
(1.110 to 2.436)"
Leukaemia,No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to beryllium,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"1.174
(1.086 to 1.270)","1.169
(1.064 to 1.277)","1.170
(1.073 to 1.274)","1.169
(1.073 to 1.269)","1.172
(1.080 to 1.271)","1.168
(1.070 to 1.276)","1.171
(1.070 to 1.274)","1.171
(1.074 to 1.273)","1.170
(1.073 to 1.271)","1.171
(1.071 to 1.271)","1.172
(1.080 to 1.276)","1.171
(1.076 to 1.270)","1.174
(1.078 to 1.276)","1.171
(1.072 to 1.273)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"1.170
(1.081 to 1.262)","1.170
(1.076 to 1.277)","1.169
(1.072 to 1.278)","1.170
(1.077 to 1.276)","1.172
(1.075 to 1.274)","1.171
(1.077 to 1.276)","1.173
(1.074 to 1.276)","1.172
(1.074 to 1.274)","1.173
(1.081 to 1.277)","1.169
(1.074 to 1.269)","1.173
(1.077 to 1.282)","1.167
(1.069 to 1.269)","1.169
(1.073 to 1.275)","1.171
(1.067 to 1.279)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to cadmium,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"1.192
(1.097 to 1.293)","1.188
(1.083 to 1.288)","1.190
(1.101 to 1.295)","1.191
(1.091 to 1.305)","1.190
(1.090 to 1.298)","1.190
(1.092 to 1.299)","1.192
(1.095 to 1.299)","1.193
(1.095 to 1.296)","1.190
(1.089 to 1.293)","1.192
(1.088 to 1.298)","1.193
(1.088 to 1.300)","1.187
(1.095 to 1.291)","1.191
(1.094 to 1.289)","1.190
(1.088 to 1.296)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"1.191
(1.087 to 1.296)","1.191
(1.099 to 1.291)","1.188
(1.093 to 1.294)","1.190
(1.092 to 1.302)","1.191
(1.088 to 1.292)","1.194
(1.095 to 1.297)","1.188
(1.091 to 1.300)","1.190
(1.095 to 1.291)","1.190
(1.095 to 1.295)","1.189
(1.095 to 1.290)","1.192
(1.094 to 1.296)","1.192
(1.089 to 1.299)","1.193
(1.096 to 1.297)","1.193
(1.099 to 1.301)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to chromium,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"1.179
(1.114 to 1.246)","1.181
(1.117 to 1.250)","1.181
(1.117 to 1.250)","1.180
(1.116 to 1.244)","1.183
(1.117 to 1.249)","1.180
(1.117 to 1.240)","1.180
(1.117 to 1.249)","1.182
(1.120 to 1.246)","1.181
(1.118 to 1.246)","1.179
(1.115 to 1.243)","1.182
(1.121 to 1.247)","1.180
(1.118 to 1.248)","1.180
(1.113 to 1.246)","1.181
(1.117 to 1.245)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"1.179
(1.116 to 1.248)","1.180
(1.115 to 1.248)","1.180
(1.115 to 1.244)","1.179
(1.117 to 1.243)","1.180
(1.115 to 1.248)","1.181
(1.115 to 1.246)","1.181
(1.118 to 1.250)","1.181
(1.118 to 1.245)","1.181
(1.117 to 1.248)","1.181
(1.117 to 1.245)","1.179
(1.119 to 1.245)","1.181
(1.116 to 1.255)","1.181
(1.116 to 1.246)","1.179
(1.113 to 1.247)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to diesel engine exhaust,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"1.469
(1.294 to 1.658)","1.477
(1.300 to 1.665)","1.473
(1.290 to 1.669)","1.474
(1.292 to 1.676)","1.472
(1.301 to 1.670)","1.470
(1.294 to 1.663)","1.475
(1.300 to 1.669)","1.469
(1.299 to 1.645)","1.474
(1.295 to 1.677)","1.477
(1.291 to 1.671)","1.477
(1.311 to 1.680)","1.476
(1.300 to 1.669)","1.473
(1.286 to 1.669)","1.477
(1.299 to 1.669)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"1.473
(1.286 to 1.683)","1.476
(1.302 to 1.686)","1.469
(1.288 to 1.670)","1.467
(1.281 to 1.671)","1.473
(1.288 to 1.661)","1.475
(1.293 to 1.682)","1.477
(1.299 to 1.681)","1.475
(1.302 to 1.675)","1.476
(1.290 to 1.681)","1.481
(1.308 to 1.687)","1.478
(1.293 to 1.684)","1.473
(1.290 to 1.662)","1.473
(1.289 to 1.677)","1.476
(1.289 to 1.663)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to second-hand smoke,,,,,,,,,,,,,,,,,,,,,,,,
"Tracheal, bronchus, and lung cancer",High exposure,Both,Male,,,,,,,,"1.241
(1.186 to 1.301)","1.240
(1.187 to 1.298)","1.242
(1.183 to 1.296)","1.240
(1.185 to 1.292)","1.243
(1.189 to 1.296)","1.242
(1.187 to 1.298)","1.241
(1.185 to 1.293)","1.239
(1.187 to 1.298)","1.240
(1.187 to 1.292)","1.241
(1.187 to 1.298)","1.241
(1.190 to 1.299)","1.239
(1.186 to 1.298)","1.241
(1.187 to 1.297)","1.240
(1.187 to 1.295)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",High exposure,Both,Female,,,,,,,,"1.240
(1.184 to 1.300)","1.240
(1.189 to 1.294)","1.241
(1.190 to 1.297)","1.240
(1.182 to 1.298)","1.240
(1.188 to 1.296)","1.240
(1.186 to 1.298)","1.240
(1.186 to 1.294)","1.239
(1.185 to 1.295)","1.239
(1.188 to 1.296)","1.241
(1.188 to 1.299)","1.239
(1.189 to 1.293)","1.240
(1.187 to 1.294)","1.241
(1.186 to 1.294)","1.240
(1.184 to 1.297)"
"Tracheal, bronchus, and lung cancer",Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Occupational exposure to formaldehyde,,,,,,,,,,,,,,,,,,,,,,,,
Nasopharynx cancer,High exposure,Both,Male,,,,,,,,"2.222
(1.023 to 4.247)","2.294
(1.054 to 4.415)","2.204
(1.022 to 4.044)","2.211
(0.993 to 4.228)","2.230
(1.026 to 4.147)","2.241
(1.076 to 4.078)","2.265
(1.055 to 4.357)","2.198
(1.036 to 4.100)","2.232
(1.101 to 4.097)","2.215
(1.021 to 4.197)","2.251
(1.056 to 4.239)","2.233
(1.022 to 4.334)","2.234
(1.017 to 4.329)","2.204
(1.061 to 4.177)"
Nasopharynx cancer,Low exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Nasopharynx cancer,No exposure,Both,Male,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Nasopharynx cancer,High exposure,Both,Female,,,,,,,,"2.202
(1.040 to 4.060)","2.246
(1.036 to 4.201)","2.227
(1.046 to 4.220)","2.269
(1.082 to 4.189)","2.264
(1.064 to 4.394)","2.217
(1.039 to 4.233)","2.201
(1.032 to 4.163)","2.221
(1.034 to 4.255)","2.225
(1.021 to 4.230)","2.276
(1.067 to 4.207)","2.261
(1.034 to 4.216)","2.258
(1.040 to 4.377)","2.241
(1.027 to 4.168)","2.229
(1.019 to 4.249)"
Nasopharynx cancer,Low exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Nasopharynx cancer,No exposure,Both,Female,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
