Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Colombia,1990 - 2015,All ages,Both,Gynecological diseases,YLDs annual % change,0.003501404,,
Colombia,2015,All ages,Both,Hemoglobinopathies and hemolytic anemias,Percent of total YLDs,0.001871479,0.001483527,0.002281226
Colombia,1990 - 2015,All ages,Both,Hemoglobinopathies and hemolytic anemias,YLDs annual % change,-0.008679938,,
Colombia,2015,All ages,Both,"Endocrine, metabolic, blood, and immune disorders",Percent of total YLDs,0.001062724,0.000848647,0.001296853
Colombia,1990 - 2015,All ages,Both,"Endocrine, metabolic, blood, and immune disorders",YLDs annual % change,-0.004414663,,
Colombia,2015,All ages,Both,Rheumatoid arthritis,Percent of total YLDs,0.010693575,0.008493612,0.013225662
Colombia,1990 - 2015,All ages,Both,Rheumatoid arthritis,YLDs annual % change,0.010050187,,
Colombia,2015,All ages,Both,Osteoarthritis,Percent of total YLDs,0.017030649,0.014801535,0.019028589
Colombia,1990 - 2015,All ages,Both,Osteoarthritis,YLDs annual % change,0.028336293,,
Colombia,2015,All ages,Both,Low back and neck pain,Percent of total YLDs,0.133595409,0.115426256,0.155620925
Colombia,1990 - 2015,All ages,Both,Low back and neck pain,YLDs annual % change,0.011968641,,
Colombia,2015,All ages,Both,Gout,Percent of total YLDs,0.0014847,0.001092129,0.001887172
Colombia,1990 - 2015,All ages,Both,Gout,YLDs annual % change,0.017856019,,
Colombia,2015,All ages,Both,Other musculoskeletal disorders,Percent of total YLDs,0.03184483,0.024527923,0.039999336
Colombia,1990 - 2015,All ages,Both,Other musculoskeletal disorders,YLDs annual % change,0.016238627,,
Colombia,2015,All ages,Both,Congenital birth defects,Percent of total YLDs,0.009697613,0.006349771,0.014376474
Colombia,1990 - 2015,All ages,Both,Congenital birth defects,YLDs annual % change,0.003295751,,
Colombia,2015,All ages,Both,Skin and subcutaneous diseases,Percent of total YLDs,0.067992042,0.052898356,0.087897178
Colombia,1990 - 2015,All ages,Both,Skin and subcutaneous diseases,YLDs annual % change,-0.002005809,,
Colombia,2015,All ages,Both,Sense organ diseases,Percent of total YLDs,0.100136465,0.08484501,0.117849132
Colombia,1990 - 2015,All ages,Both,Sense organ diseases,YLDs annual % change,0.012616631,,
Colombia,2015,All ages,Both,Oral disorders,Percent of total YLDs,0.029759054,0.021720576,0.040977297
Colombia,1990 - 2015,All ages,Both,Oral disorders,YLDs annual % change,0.013620394,,
Colombia,2015,All ages,Both,Sudden infant death syndrome,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Sudden infant death syndrome,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Road injuries,Percent of total YLDs,0.004218779,0.003757896,0.004684484
Colombia,1990 - 2015,All ages,Both,Road injuries,YLDs annual % change,-0.003128399,,
Colombia,2015,All ages,Both,Other transport injuries,Percent of total YLDs,0.000170843,0.000148421,0.000192392
Colombia,1990 - 2015,All ages,Both,Other transport injuries,YLDs annual % change,-0.003374281,,
Colombia,2015,All ages,Both,Falls,Percent of total YLDs,0.006455605,0.005559397,0.007363428
Colombia,1990 - 2015,All ages,Both,Falls,YLDs annual % change,-0.006517467,,
Colombia,2015,All ages,Both,Drowning,Percent of total YLDs,0.000103063,8.66673E-05,0.000120201
Colombia,1990 - 2015,All ages,Both,Drowning,YLDs annual % change,-0.036765568,,
Colombia,2015,All ages,Both,"Fire, heat, and hot substances",Percent of total YLDs,0.000607695,0.000480613,0.000767982
Colombia,1990 - 2015,All ages,Both,"Fire, heat, and hot substances",YLDs annual % change,-0.048659915,,
Colombia,2015,All ages,Both,Poisonings,Percent of total YLDs,0.000292727,0.000235646,0.000365026
Colombia,1990 - 2015,All ages,Both,Poisonings,YLDs annual % change,-0.0415556,,
Colombia,2015,All ages,Both,Exposure to mechanical forces,Percent of total YLDs,0.002243176,0.00191734,0.002615293
Colombia,1990 - 2015,All ages,Both,Exposure to mechanical forces,YLDs annual % change,-0.030830763,,
Colombia,2015,All ages,Both,Adverse effects of medical treatment,Percent of total YLDs,0.000340631,0.00025516,0.000435035
Colombia,1990 - 2015,All ages,Both,Adverse effects of medical treatment,YLDs annual % change,-0.012794208,,
Colombia,2015,All ages,Both,Animal contact,Percent of total YLDs,0.00032262,0.000274352,0.000368429
Colombia,1990 - 2015,All ages,Both,Animal contact,YLDs annual % change,-0.02950476,,
Colombia,2015,All ages,Both,Foreign body,Percent of total YLDs,0.0008228,0.000667915,0.001033565
Colombia,1990 - 2015,All ages,Both,Foreign body,YLDs annual % change,-0.031790728,,
Colombia,2015,All ages,Both,Other unintentional injuries,Percent of total YLDs,0.002757513,0.002323913,0.003246703
Colombia,1990 - 2015,All ages,Both,Other unintentional injuries,YLDs annual % change,-0.013687302,,
Colombia,2015,All ages,Both,Self-harm,Percent of total YLDs,0.00019901,0.000173804,0.000225565
Colombia,1990 - 2015,All ages,Both,Self-harm,YLDs annual % change,-0.002410227,,
Colombia,2015,All ages,Both,Interpersonal violence,Percent of total YLDs,0.003113492,0.002742379,0.003456498
Colombia,1990 - 2015,All ages,Both,Interpersonal violence,YLDs annual % change,-0.016415129,,
Colombia,2015,All ages,Both,Exposure to forces of nature,Percent of total YLDs,0.001475304,0.0007634,0.002317908
Colombia,1990 - 2015,All ages,Both,Exposure to forces of nature,YLDs annual % change,-0.027046172,,
Colombia,2015,All ages,Both,Collective violence and legal intervention,Percent of total YLDs,0.000615548,0.00044087,0.000841534
Colombia,1990 - 2015,All ages,Both,Collective violence and legal intervention,YLDs annual % change,-0.00489888,,
Colombia,2015,All ages,Both,Maternal deaths aggravated by HIV/AIDS,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Maternal deaths aggravated by HIV/AIDS,YLDs annual % change,0,,
Colombia,2015,All ages,Both,Environmental heat and cold exposure,Percent of total YLDs,0.000255151,0.000217037,0.000296978
Colombia,1990 - 2015,All ages,Both,Environmental heat and cold exposure,YLDs annual % change,-0.058054247,,
Colombia,2015,All ages,Both,Ebola,Percent of total YLDs,0,0,0
Colombia,1990 - 2015,All ages,Both,Ebola,YLDs annual % change,0,,
,,,,,,,,
"Global Burden of Disease Study 2015. Global Burden of Disease Study 2015 (GBD 2015) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2016.",,,,,,,,
Available from from https://http://vizhub.healthdata.org/gbd-compare/,,,,,,,,
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",,,,,,,,
